"di_id","Year","P20population"
"BI",1996,4541011
"BI",1997,
"BI",1998,
"BI",1999,4748076
"BI",2000,
"BI",2001,
"BI",2002,5040575
"BI",2003,
"BI",2004,
"BI",2005,5843050
"BI",2006,
"BI",2007,
"BI",2008,6381581
"BI",2009,
"BI",2010,7020102
"BI",2011,7388135
"BI",2012,7668163
"BI",2013,7988227
"BI",2014,
"BI",2015,8841954
"BI",2016,
"BI",2017,
"CV",1981,109156
"CV",1982,
"CV",1983,
"CV",1984,125486
"CV",1985,
"CV",1986,
"CV",1987,130718
"CV",1988,
"CV",1989,
"CV",1990,124883
"CV",1991,
"CV",1992,
"CV",1993,119504
"CV",1994,
"CV",1995,
"CV",1996,91204
"CV",1997,
"CV",1998,
"CV",1999,59097
"CV",2000,
"CV",2001,
"CV",2002,50394
"CV",2003,
"CV",2004,
"CV",2005,52452
"CV",2006,
"CV",2007,
"CV",2008,42183
"CV",2009,
"CV",2010,53889
"CV",2011,58571
"CV",2012,66307
"CV",2013,77890
"CV",2014,
"CV",2015,92780
"CV",2016,
"CV",2017,
"CM",1981,367706
"CM",1982,
"CM",1983,
"CM",1984,484443
"CM",1985,
"CM",1986,
"CM",1987,711482
"CM",1988,
"CM",1989,
"CM",1990,1578599
"CM",1991,
"CM",1992,
"CM",1993,3597245
"CM",1994,
"CM",1995,
"CM",1996,4594108
"CM",1997,
"CM",1998,
"CM",1999,2724731
"CM",2000,
"CM",2001,
"CM",2002,2815756
"CM",2003,
"CM",2004,
"CM",2005,4533281
"CM",2006,
"CM",2007,
"CM",2008,5961555
"CM",2009,
"CM",2010,7166206
"CM",2011,7709899
"CM",2012,7895285
"CM",2013,8141133
"CM",2014,
"CM",2015,8249197
"CM",2016,
"CM",2017,
"CA",1981,123186
"CA",1982,
"CA",1983,
"CA",1984,63577
"CA",1985,
"CA",1986,
"CA",1987,0
"CA",1988,
"CA",1989,
"CA",1990,45349
"CA",1991,
"CA",1992,
"CA",1993,68610
"CA",1994,
"CA",1995,
"CA",1996,72246
"CA",1997,
"CA",1998,
"CA",1999,75784
"CA",2000,
"CA",2001,
"CA",2002,77365
"CA",2003,
"CA",2004,
"CA",2005,79204
"CA",2006,
"CA",2007,
"CA",2008,82598
"CA",2009,
"CA",2010,84616
"CA",2011,113947
"CA",2012,144130
"CA",2013,174976
"CA",2014,
"CA",2015,178426
"CA",2016,
"CA",2017,
"CF",1981,1459925
"CF",1982,
"CF",1983,
"CF",1984,1727719
"CF",1985,
"CF",1986,
"CF",1987,1967627
"CF",1988,
"CF",1989,
"CF",1990,2133662
"CF",1991,
"CF",1992,
"CF",1993,2411218
"CF",1994,
"CF",1995,
"CF",1996,2449039
"CF",1997,
"CF",1998,
"CF",1999,2274026
"CF",2000,
"CF",2001,
"CF",2002,2247199
"CF",2003,
"CF",2004,
"CF",2005,2666802
"CF",2006,
"CF",2007,
"CF",2008,2965225
"CF",2009,
"CF",2010,3099112
"CF",2011,3182852
"CF",2012,3182334
"CF",2013,3870053
"CF",2014,
"CF",2015,3928917
"CF",2016,
"CF",2017,
"TD",1981,2276140
"TD",1982,
"TD",1983,
"TD",1984,2478548
"TD",1985,
"TD",1986,
"TD",1987,2837748
"TD",1988,
"TD",1989,
"TD",1990,2957911
"TD",1991,
"TD",1992,
"TD",1993,3720917
"TD",1994,
"TD",1995,
"TD",1996,4439603
"TD",1997,
"TD",1998,
"TD",1999,4938556
"TD",2000,
"TD",2001,
"TD",2002,5483688
"TD",2003,
"TD",2004,
"TD",2005,3888673
"TD",2006,
"TD",2007,
"TD",2008,5041696
"TD",2009,
"TD",2010,5143985
"TD",2011,5872600
"TD",2012,5925554
"TD",2013,6438730
"TD",2014,
"TD",2015,7129306
"TD",2016,
"TD",2017,
"CL",1981,275041
"CL",1982,
"CL",1983,
"CL",1984,638731
"CL",1985,
"CL",1986,
"CL",1987,720785
"CL",1988,
"CL",1989,
"CL",1990,480224
"CL",1991,
"CL",1992,
"CL",1993,323479
"CL",1994,
"CL",1995,
"CL",1996,320445
"CL",1997,
"CL",1998,
"CL",1999,434872
"CL",2000,
"CL",2001,
"CL",2002,526105
"CL",2003,
"CL",2004,
"CL",2005,448044
"CL",2006,
"CL",2007,
"CL",2008,421738
"CL",2009,
"CL",2010,435592
"CL",2011,397653
"CL",2012,305252
"CL",2013,266542
"CL",2014,
"CL",2015,398770
"CL",2016,
"CL",2017,
"CN",1981,531534071
"CN",1982,
"CN",1983,
"CN",1984,428723301
"CN",1985,
"CN",1986,
"CN",1987,376883738
"CN",1988,
"CN",1989,
"CN",1990,454295815
"CN",1991,
"CN",1992,
"CN",1993,429524410
"CN",1994,
"CN",1995,
"CN",1996,348940942
"CN",1997,
"CN",1998,
"CN",1999,366107294
"CN",2000,
"CN",2001,
"CN",2002,326461923
"CN",2003,
"CN",2004,
"CN",2005,233916962
"CN",2006,
"CN",2007,
"CN",2008,214924082
"CN",2009,
"CN",2010,193556416
"CN",2011,168001599
"CN",2012,152910560
"CN",2013,79299416
"CN",2014,
"CN",2015,49137600
"CN",2016,
"CN",2017,
"CO",1981,1316721
"CO",1982,
"CO",1983,
"CO",1984,1665920
"CO",1985,
"CO",1986,
"CO",1987,1873313
"CO",1988,
"CO",1989,
"CO",1990,1896377
"CO",1991,
"CO",1992,
"CO",1993,2455919
"CO",1994,
"CO",1995,
"CO",1996,5024843
"CO",1997,
"CO",1998,
"CO",1999,6426915
"CO",2000,
"CO",2001,
"CO",2002,4753320
"CO",2003,
"CO",2004,
"CO",2005,4011788
"CO",2006,
"CO",2007,
"CO",2008,5068141
"CO",2009,
"CO",2010,4438235
"CO",2011,4217155
"CO",2012,4431937
"CO",2013,4487123
"CO",2014,
"CO",2015,4113008
"CO",2016,
"CO",2017,
"KM",1981,4770
"KM",1982,
"KM",1983,
"KM",1984,6403
"KM",1985,
"KM",1986,
"KM",1987,12524
"KM",1988,
"KM",1989,
"KM",1990,15761
"KM",1991,
"KM",1992,
"KM",1993,20954
"KM",1994,
"KM",1995,
"KM",1996,46738
"KM",1997,
"KM",1998,
"KM",1999,54241
"KM",2000,
"KM",2001,
"KM",2002,55995
"KM",2003,
"KM",2004,
"KM",2005,80883
"KM",2006,
"KM",2007,
"KM",2008,113962
"KM",2009,
"KM",2010,144135
"KM",2011,169845
"KM",2012,187009
"KM",2013,208058
"KM",2014,
"KM",2015,241035
"KM",2016,
"KM",2017,
"CD",1981,7842303
"CD",1982,
"CD",1983,
"CD",1984,11130358
"CD",1985,
"CD",1986,
"CD",1987,13726616
"CD",1988,
"CD",1989,
"CD",1990,18202624
"CD",1991,
"CD",1992,
"CD",1993,29517835
"CD",1994,
"CD",1995,
"CD",1996,36221172
"CD",1997,
"CD",1998,
"CD",1999,41115255
"CD",2000,
"CD",2001,
"CD",2002,46448714
"CD",2003,
"CD",2004,
"CD",2005,51244447
"CD",2006,
"CD",2007,
"CD",2008,54058782
"CD",2009,
"CD",2010,57241071
"CD",2011,58521854
"CD",2012,59121849
"CD",2013,60688411
"CD",2014,
"CD",2015,64185662
"CD",2016,
"CD",2017,
"CG",1981,399332
"CG",1982,
"CG",1983,
"CG",1984,366919
"CG",1985,
"CG",1986,
"CG",1987,623907
"CG",1988,
"CG",1989,
"CG",1990,704118
"CG",1991,
"CG",1992,
"CG",1993,881815
"CG",1994,
"CG",1995,
"CG",1996,1217520
"CG",1997,
"CG",1998,
"CG",1999,1464544
"CG",2000,
"CG",2001,
"CG",2002,1574411
"CG",2003,
"CG",2004,
"CG",2005,1882441
"CG",2006,
"CG",2007,
"CG",2008,2008145
"CG",2009,
"CG",2010,1885084
"CG",2011,2031242
"CG",2012,2150021
"CG",2013,2324642
"CG",2014,
"CG",2015,2510393
"CG",2016,
"CG",2017,
"CR",1981,296721
"CR",1982,
"CR",1983,
"CR",1984,274616
"CR",1985,
"CR",1986,
"CR",1987,244548
"CR",1988,
"CR",1989,
"CR",1990,203583
"CR",1991,
"CR",1992,
"CR",1993,190674
"CR",1994,
"CR",1995,
"CR",1996,228472
"CR",1997,
"CR",1998,
"CR",1999,182822
"CR",2000,
"CR",2001,
"CR",2002,149377
"CR",2003,
"CR",2004,
"CR",2005,125787
"CR",2006,
"CR",2007,
"CR",2008,108581
"CR",2009,
"CR",2010,83492
"CR",2011,109556
"CR",2012,111966
"CR",2013,127088
"CR",2014,
"CR",2015,131752
"CR",2016,
"CR",2017,
"CI",1981,103863
"CI",1982,
"CI",1983,
"CI",1984,197197
"CI",1985,
"CI",1986,
"CI",1987,203366
"CI",1988,
"CI",1989,
"CI",1990,670948
"CI",1991,
"CI",1992,
"CI",1993,1432639
"CI",1994,
"CI",1995,
"CI",1996,1739816
"CI",1997,
"CI",1998,
"CI",1999,2707273
"CI",2000,
"CI",2001,
"CI",2002,3039583
"CI",2003,
"CI",2004,
"CI",2005,4740626
"CI",2006,
"CI",2007,
"CI",2008,6104880
"CI",2009,
"CI",2010,7993068
"CI",2011,9910867
"CI",2012,10018710
"CI",2013,10591029
"CI",2014,
"CI",2015,10988494
"CI",2016,
"CI",2017,
"HR",1981,1098
"HR",1982,
"HR",1983,
"HR",1984,1415
"HR",1985,
"HR",1986,
"HR",1987,1512
"HR",1988,
"HR",1989,
"HR",1990,4606
"HR",1991,
"HR",1992,
"HR",1993,12196
"HR",1994,
"HR",1995,
"HR",1996,18039
"HR",1997,
"HR",1998,
"HR",1999,8954
"HR",2000,
"HR",2001,
"HR",2002,1443
"HR",2003,
"HR",2004,
"HR",2005,0
"HR",2006,
"HR",2007,
"HR",2008,0
"HR",2009,
"HR",2010,0
"HR",2011,42498
"HR",2012,53214
"HR",2013,71966
"HR",2014,
"HR",2015,41837
"HR",2016,
"HR",2017,
"CY",1981,0
"CY",1982,
"CY",1983,
"CY",1984,0
"CY",1985,
"CY",1986,
"CY",1987,0
"CY",1988,
"CY",1989,
"CY",1990,0
"CY",1991,
"CY",1992,
"CY",1993,0
"CY",1994,
"CY",1995,
"CY",1996,0
"CY",1997,
"CY",1998,
"CY",1999,0
"CY",2000,
"CY",2001,
"CY",2002,0
"CY",2003,
"CY",2004,
"CY",2005,0
"CY",2006,
"CY",2007,
"CY",2008,0
"CY",2009,
"CY",2010,0
"CY",2011,0
"CY",2012,0
"CY",2013,0
"CY",2014,
"CY",2015,0
"CY",2016,
"CY",2017,
"CZ",1981,0
"CZ",1982,
"CZ",1983,
"CZ",1984,0
"CZ",1985,
"CZ",1986,
"CZ",1987,0
"CZ",1988,
"CZ",1989,
"CZ",1990,0
"CZ",1991,
"CZ",1992,
"CZ",1993,0
"CZ",1994,
"CZ",1995,
"CZ",1996,13306
"CZ",1997,
"CZ",1998,
"CZ",1999,8162
"CZ",2000,
"CZ",2001,
"CZ",2002,3250
"CZ",2003,
"CZ",2004,
"CZ",2005,0
"CZ",2006,
"CZ",2007,
"CZ",2008,0
"CZ",2009,
"CZ",2010,0
"CZ",2011,0
"CZ",2012,16999
"CZ",2013,0
"CZ",2014,
"CZ",2015,0
"CZ",2016,
"CZ",2017,
"DK",1981,11465
"DK",1982,
"DK",1983,
"DK",1984,11443
"DK",1985,
"DK",1986,
"DK",1987,11477
"DK",1988,
"DK",1989,
"DK",1990,11508
"DK",1991,
"DK",1992,
"DK",1993,11615
"DK",1994,
"DK",1995,
"DK",1996,11782
"DK",1997,
"DK",1998,
"DK",1999,11913
"DK",2000,
"DK",2001,
"DK",2002,12034
"DK",2003,
"DK",2004,
"DK",2005,12167
"DK",2006,
"DK",2007,
"DK",2008,13690
"DK",2009,
"DK",2010,0
"DK",2011,0
"DK",2012,0
"DK",2013,13620
"DK",2014,
"DK",2015,12034
"DK",2016,
"DK",2017,
"DO",1981,82470
"DO",1982,
"DO",1983,
"DO",1984,118628
"DO",1985,
"DO",1986,
"DO",1987,241314
"DO",1988,
"DO",1989,
"DO",1990,413469
"DO",1991,
"DO",1992,
"DO",1993,168618
"DO",1994,
"DO",1995,
"DO",1996,260040
"DO",1997,
"DO",1998,
"DO",1999,301347
"DO",2000,
"DO",2001,
"DO",2002,395940
"DO",2003,
"DO",2004,
"DO",2005,507596
"DO",2006,
"DO",2007,
"DO",2008,430669
"DO",2009,
"DO",2010,387055
"DO",2011,501364
"DO",2012,563333
"DO",2013,580216
"DO",2014,
"DO",2015,504127
"DO",2016,
"DO",2017,
"EC",1981,608984
"EC",1982,
"EC",1983,
"EC",1984,902131
"EC",1985,
"EC",1986,
"EC",1987,1060731
"EC",1988,
"EC",1989,
"EC",1990,1156930
"EC",1991,
"EC",1992,
"EC",1993,1237753
"EC",1994,
"EC",1995,
"EC",1996,1539971
"EC",1997,
"EC",1998,
"EC",1999,2091853
"EC",2000,
"EC",2001,
"EC",2002,1662675
"EC",2003,
"EC",2004,
"EC",2005,1594048
"EC",2006,
"EC",2007,
"EC",2008,1154298
"EC",2009,
"EC",2010,1055206
"EC",2011,1012659
"EC",2012,1033814
"EC",2013,915447
"EC",2014,
"EC",2015,1098927
"EC",2016,
"EC",2017,
"EG",1981,213696
"EG",1982,
"EG",1983,
"EG",1984,439769
"EG",1985,
