"di_id","Year","Poorpop","Poorpop.Interp","P20population"
"BD",1987,31191637.0598637,31191637.0598637,9251276.85392484
"BD",1988,,34420848.5762134,
"BD",1989,,37650060.0925631,
"BD",1990,40879271.6089128,40879271.6089128,14059461.1517136
"BD",1991,,41956229.0408203,
"BD",1992,,43033186.4727279,
"BD",1993,44110143.9046354,44110143.9046354,16573363.1510578
"BD",1994,,44418671.3228178,
"BD",1995,,44727198.7410001,
"BD",1996,45035726.1591825,45035726.1591825,23907692.0365605
"BD",1997,,46046040.6104727,
"BD",1998,,47056355.0617629,
"BD",1999,48066669.5130531,48066669.5130531,27593012.3233191
"BD",2000,,47496249.3508076,
"BD",2001,,46925829.1885621,
"BD",2002,46355409.0263166,46355409.0263166,31515822.886905
"BD",2003,,43207297.9786456,
"BD",2004,,40059186.9309746,
"BD",2005,36911075.8833036,36911075.8833036,34811115.4766727
"BD",2006,,35229232.2090108,
"BD",2007,,33547388.534718,
"BD",2008,31865544.8604252,31865544.8604252,37119565.6605558
"BD",2009,,30867058.8264838,
"BD",2010,29868572.7925424,29868572.7925424,42534498.656916
"BD",2011,28427407.7556672,28427407.7556672,49039937.9764344
"BD",2012,27839294.1193994,27839294.1193994,52048107.8795045
"BD",2013,26538109.7272524,26538109.7272524,58434021.5536056
"BD",2014,,25484293.8016052,
"BD",2015,24430477.875958,24430477.875958,63371389.0248516
"BD",2016,,24430477.875958,
"BD",2017,,24430477.875958,
"BY",1981,3917.845176,3917.845176,0
"BY",1982,,3501.725594,
"BY",1983,,3085.606012,
"BY",1984,2669.48643,2669.48643,0
"BY",1985,,2708.40723236667,
"BY",1986,,2747.32803473333,
"BY",1987,2786.2488371,2786.2488371,0
"BY",1988,,3131.79805726667,
"BY",1989,,3477.34727743333,
"BY",1990,3822.8964976,3822.8964976,1640.663347
"BY",1991,,5571.49722586667,
"BY",1992,,7320.09795413333,
"BY",1993,9068.6986824,9068.6986824,2103.3179058
"BY",1994,,27307.9393082667,
"BY",1995,,45547.1799341333,
"BY",1996,63786.42056,63786.42056,43377.43928
"BY",1997,,391720.137105733,
"BY",1998,,719653.853651467,
"BY",1999,1047587.5701972,1047587.5701972,575457.35478264
"BY",2000,,765168.18782016,
"BY",2001,,482748.80544312,
"BY",2002,200329.42306608,200329.42306608,138755.67698916
"BY",2003,,145537.797856695,
"BY",2004,,90746.17264731,
"BY",2005,35954.547437925,35954.547437925,35954.547437925
"BY",2006,,23969.69829195,
"BY",2007,,11984.849145975,
"BY",2008,0,0,0
"BY",2009,,0,
"BY",2010,0,0,0
"BY",2011,0,0,0
"BY",2012,0,0,1141.031945604
"BY",2013,0,0,0
"BY",2014,,0,
"BY",2015,0,0,0
"BY",2016,,0,
"BY",2017,,0,
"BE",1981,48925.158739072,48925.158739072,23212.263272296
"BE",1982,,48919.1872022187,
"BE",1983,,48913.2156653653,
"BE",1984,48907.244128512,48907.244128512,23203.763787216
"BE",1985,,48931.828333696,
"BE",1986,,48956.41253888,
"BE",1987,48980.996744064,48980.996744064,23238.755296152
"BE",1988,,40476.4898974467,
"BE",1989,,31971.9830508293,
"BE",1990,23467.476204212,23467.476204212,23467.476204212
"BE",1991,,23559.374237908,
"BE",1992,,23651.272271604,
"BE",1993,23743.1703053,23743.1703053,23743.1703053
"BE",1994,,23799.803716412,
"BE",1995,,23856.437127524,
"BE",1996,23913.070538636,23913.070538636,23913.070538636
"BE",1997,,23967.8361035347,
"BE",1998,,24022.6016684333,
"BE",1999,24077.367233332,24077.367233332,24077.367233332
"BE",2000,,24160.8442628813,
"BE",2001,,24244.3212924307,
"BE",2002,24327.79832198,24327.79832198,24327.79832198
"BE",2003,,24299.1701072883,
"BE",2004,,24270.5418925967,
"BE",2005,24241.913677905,24241.913677905,24241.913677905
"BE",2006,,16161.27578527,
"BE",2007,,8080.637892635,
"BE",2008,0,0,0
"BE",2009,,11807.846176815,
"BE",2010,23615.69235363,23615.69235363,23615.69235363
"BE",2011,26155.788018112,26155.788018112,26155.788018112
"BE",2012,27065.708176098,27065.708176098,27065.708176098
"BE",2013,27660.630752598,27660.630752598,27660.630752598
"BE",2014,,13830.315376299,
"BE",2015,0,0,27318.684714736
"BE",2016,,0,
"BE",2017,,0,
"BZ",1981,21278.3679096,21278.3679096,10260.4927073
"BZ",1982,,25788.4478734,
"BZ",1983,,30298.5278372,
"BZ",1984,34808.607801,34808.607801,16133.313405
"BZ",1985,,35196.775534,
"BZ",1986,,35584.943267,
"BZ",1987,35973.111,35973.111,19501.980272
"BZ",1988,,32451.4159296,
"BZ",1989,,28929.7208592,
"BZ",1990,25408.0257888,25408.0257888,16791.53618656
"BZ",1991,,23587.40172,
"BZ",1992,,21766.7776512,
"BZ",1993,19946.1535824,19946.1535824,14750.30723616
"BZ",1994,,22743.3821634667,
"BZ",1995,,25540.6107445333,
"BZ",1996,28337.8393256,28337.8393256,20167.2964376
"BZ",1997,,30782.5997927333,
"BZ",1998,,33227.3602598667,
"BZ",1999,35672.120727,35672.120727,27907.2177014
"BZ",2000,,34786.8464128,
"BZ",2001,,33901.5720986,
"BZ",2002,33016.2977844,33016.2977844,26711.187426
"BZ",2003,,35153.1050168,
"BZ",2004,,37289.9122492,
"BZ",2005,39426.7194816,39426.7194816,39223.4682341
"BZ",2006,,42656.7142624,
"BZ",2007,,45886.7090432,
"BZ",2008,49116.703824,49116.703824,52857.3971775
"BZ",2009,,47770.9882064,
"BZ",2010,46425.2725888,46425.2725888,56760.8210456
"BZ",2011,47376.0946296,47376.0946296,60123.8573144
