"CountryName","PopTotal2020","PopTotal2030","BaseHC2030","RegionCode","PlusOneHC2030","MinusOneHC2030","BaseHC2020","pop2030","pop2020","basepoorpop","plusonepop","minusonepop","basepoorpop2020","frag"
"Macedonia, former Yugoslav Republic of",2088.035,2076.35,76,"ECA",0.03025752,0.04047679,0.03025752,2.07635,2.088035,157.8026,0.062825201652,0.0840439829165,0.0631787607732,0
"Thailand",69410.868,69626.212,120,"EAP",0.0002060129,0.0002060129,0.0002060129,69.626212,69.410868,8355.14544,0.0143438978501348,0.0143438978501348,0.0142995342081972,0
"Timor-Leste",1381.4,1704.105,121,"EAP",0.03380733,0.103786,0.06425268,1.704105,1.3814,206.196705,0.05761124008965,0.17686224153,0.088758652152,1
"Togo",8384.291,10507.241,122,"SSA",0.1384344,0.1894275,0.1567896,10.507241,8.384291,1281.883402,1.4545636034904,1.9903603945275,1.3145696321736,0
"Tokelau",1.357,1.444,,"EAP",,,,0.001444,0.001357,,,,,
"Tonga",111.037,121.055,123,"EAP",0.001372239,0.002427807,0.001372239,0.121055,0.111037,14.889765,0.000166116392145,0.000293898176385,0.000152369301843,0
"Trinidad and Tobago",1377.729,1373.659,124,"LAC",0.004580949,0.009088229,0.006315321,1.373659,1.377729,170.333716,0.006292661822391,0.012484127559911,0.008700800886009,0
"Tunisia",11903.136,12841.615,125,"MNA",0.0009937029,0.003467778,0.001682601,12.841615,11.903136,1605.201875,0.0127607500661835,0.04453186998147,0.020028228536736,0
"Turkey",83835.75,88416.609,126,"ECA",0.0007600784,0.0008742157,0.0008378833,88.416609,83.83575,11140.492734,0.0672035547021456,0.0772951877285613,0.070244574867975,0
"Turkmenistan",6031.195,6767.418,127,"ECA",0.0001943726,0.0004876714,0.0003093493,6.767418,6.031195,859.462086,0.0013154006319468,0.0033002762104452,0.0018657459514135,0
"Tuvalu",11.499,12.699,8,"EAP",0,0,0,0.012699,0.011499,0.101592,0,0,0,0
"Uganda",47187.703,63842.36,128,"SSA",0.03661453,0.08377015,0.05746951,63.84236,47.187703,8171.82208,2.3375580054908,5.348084073554,2.71185416943553,1
"Ukraine",43579.234,41200.374,129,"ECA",0.0001143589,0.0002561917,0.0001143589,41.200374,43.579234,5314.848246,0.0047116294502286,0.0105551938556958,0.0049836732630826,0
"United Arab Emirates",9813.17,11054.579,,"OHI",,,,11.054579,9.81317,,,,,0
"United Kingdom",67334.208,70578.614,130,"OHI",0.002292044,0.002292044,0.002292044,70.578614,67.334208,9175.21982,0.161769288747016,0.161769288747016,0.154332967441152,0
"Tanzania",62774.619,83702.053,119,"SSA",0.009281358,0.03047776,0.01789266,83.702053,62.774619,9960.544307,0.776868719227974,2.55105108284128,1.12320491439654,1
"United States",331431.534,354711.67,131,"OHI",0.009974761,0.01164112,0.01164112,354.71167,331.431534,46467.22877,3.53816413216087,4.1292411158704,3.85823425907808,0
"Uruguay",3494.387,3594.299,132,"LAC",0.0003303022,0.0004546342,0.0003631881,3.594299,3.494387,474.447468,0.0011872048671578,0.0016340912504258,0.0012691197751947,0
"Uzbekistan",33235.825,36712.267,133,"ECA",0.003199115,0.01356501,0.006845258,36.712267,33.235825,4882.731511,0.117446764043705,0.49800226897767,0.22750779696785,0
"Vanuatu",293.934,353.974,134,"EAP",0.02057496,0.05184854,0.03273659,0.353974,0.293934,47.432516,0.00728300089104,0.01835303509796,0.00962239684506,0
"Venezuela, Republica Bolivariana de",33172.392,36749.904,135,"LAC",0.3284709,0.4419329,0.382852,36.749904,33.172392,4961.23704,12.0712740417936,16.2409916494416,12.700116621984,1
"Vietnam",98360.145,106283.637,136,"EAP",0.0001851283,0.000426427,0.0002769223,106.283637,98.360145,14454.574632,0.0196761090356271,0.045322212474999,0.0272381175817335,0
"Yemen, Republic of",30245.305,36815.286,137,"MNA",0.4983945,0.6539221,0.5878332,36.815286,30.245305,5043.694182,18.348536058327,24.0743291332206,17.779194423126,1
"Zambia",18679.273,24859.376,138,"SSA",0.3250375,0.4066804,0.3714907,24.859376,18.679273,3430.593888,8.0802294266,10.1098209754304,6.9391762022611,1
