"isInterpolated","useMicroData","CountryCode","CountryName","RegionCode","CoverageType","RequestYear","DataYear","DataType","PPP","PovertyLine","Mean","P20Headcount","PovGap","PovGapSqr","Watts","Gini","Median","pr.mld","Polarization","ReqYearPopulation","SvyInfoID","Decile1","Decile2","Decile3","Decile4","Decile5","Decile6","Decile7","Decile8","Decile9","Decile10","ConsumptionFloor","diff","P20Threshold","P20Threshold.1","P20Threshold.2","ExtPovHC","LMPovHC","UMPovHC","NP20.Threshold","HeadCount","NP20PG","pop","P20pop","P20average","restpop","restaverage","NP20pop","NP20average","Nrestaverage","Global.Consumption.Floor","Global.Ext.HC"
0,0,"CHN","China","EAP","R",1981,1981,"Y",3.696112,1.9,29.20024,0.9559393,0.5048825,0.2978553,0.8080193,0.2472923,26.64948,0.1019581,0.2028512,793.9352157,"CHN_R1981Y",0.04133,0.05658,0.06791,0.07757,0.08668,0.09607,0.1067,0.1203,0.1417,0.2052,0.779095492515585,0.7559393,1.9,1.9,1.9,0.9559393,,,1.9,0.5941505,0.1418531,793935215.7,758953874.341607,0.896508721840393,635148172.56,2.3376834778149,158787043.14,0.55239555,1.0619109755137,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","R",1981,1981,"Y",3.696112,1.9,29.20024,0.9559393,0.5048825,0.2978553,0.8080193,0.2472923,26.64948,0.1019581,0.2028512,793.9352157,"CHN_R1981Y",0.04133,0.05658,0.06791,0.07757,0.08668,0.09607,0.1067,0.1203,0.1417,0.2052,0.779095492515585,0.7559393,1.9,1.9,1.9,0.5941505,,,1.9,0.5941505,0.1418531,793935215.7,758953874.341607,0.896508721840393,635148172.56,2.3376834778149,158787043.14,0.55239555,1.0619109755137,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","U",1981,1981,"Y",3.696112,1.9,56.23616,0.5941505,0.1418531,0.04828093,0.1767184,0.1846182,53.54599,0.05896937,-1.598672,199.9497843,"CHN_U1981Y",0.05232,0.06765,0.07631,0.08396,0.09142,0.09918,0.1077,0.1178,0.1318,0.1718,1.25331855983408,0.3941505,1.9,1.9,1.9,0.8831546,,,1.9,0.5941505,0.1418531,199949784.3,118800264.316737,1.44637606128414,159959827.44,2.43808356248935,39989956.86,0.55239555,2.17297618099315,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","U",1981,1981,"Y",3.696112,1.9,56.23616,0.5941505,0.1418531,0.04828093,0.1767184,0.1846182,53.54599,0.05896937,-1.598672,199.9497843,"CHN_U1981Y",0.05232,0.06765,0.07631,0.08396,0.09142,0.09918,0.1077,0.1178,0.1318,0.1718,1.25331855983408,0.3941505,1.9,1.9,1.9,0.9559393,,,1.9,0.5941505,0.1418531,199949784.3,118800264.316737,1.44637606128414,159959827.44,2.43808356248935,39989956.86,0.55239555,2.17297618099315,0.87360706070596,0.4224848
0,0,"CHN","China","EAP","U",1981,1981,"Y",3.696112,1.9,56.23616,0.5941505,0.1418531,0.04828093,0.1767184,0.1846182,53.54599,0.05896937,-1.598672,199.9497843,"CHN_U1981Y",0.05232,0.06765,0.07631,0.08396,0.09142,0.09918,0.1077,0.1178,0.1318,0.1718,1.25331855983408,0.3941505,1.9,1.9,1.9,0.5941505,,,1.9,0.5941505,0.1418531,199949784.3,118800264.316737,1.44637606128414,159959827.44,2.43808356248935,39989956.86,0.55239555,2.17297618099315,0.87360706070596,0.4224848
0,1,"COL","Colombia","LAC","N",1981,1992,"Y",1196.955,1.9,277.714,0.09557514,0.04915543,0.03846268,0.03267596,0.5145367,168.5661,0.7018257,-1,28.375991,"COL_N1992Y",0.01062,0.02617,0.03545,0.04453,0.05498,0.06739,0.08422,0.1099,0.1622,0.4046,0.41330581382362,0.10442486,1.9,1.9,1.9,0.09557514,,,1.95,0.09971794,0.05043591,28375991,2712039.31246374,0.922807426701127,22700792.8,9.99765291576708,5675198.2,1.4082498775,11.060841640214,0.87360706070596,0.4224848
0,1,"COM","Comoros","SSA","N",1981,2004,"X",220.5725,1.9,271.9012,0.1109283,0.02786867,0.01067483,0.03697601,0.5592516,145.5895,0.546712,-1,0.317606,"COM_N2004X",0.01539,0.02471,0.0324,0.04026,0.0483,0.05937,0.07307,0.09246,0.1331,0.481,1.17222300167177,0.0890717,1.9,1.9,1.9,0.1109283,,,1.95,0.1185219,0.0300753,317606,35231.4936498,1.42266037611682,254084.8,9.87704842842999,63521.2,1.606765825,10.7723304615582,0.87360706070596,0.4224848
0,1,"ZAR","Congo, Democratic Republic of","SSA","N",1981,2004.89,"X",537.7323,1.9,64.56983,0.6173666,0.26614,0.14478,0.4048468,0.4216363,45.90032,0.3008181,-1,27.039468,"ZAR_N2004X",0.02205,0.03486,0.04467,0.05422,0.06519,0.07816,0.09598,0.1199,0.161,0.324,0.866401142255955,0.4173666,1.9,1.9,1.9,0.6173666,,,1.9,0.6173666,0.26614,27039468,16693264.4249688,1.08093074682045,21631574.4,3.80393657748486,5407893.6,-0.62833,2.81063715753425,0.87360706070596,0.4224848
0,1,"COG","Congo, Republic of","SSA","N",1981,2005,"X",296.5003,1.9,89.67424,0.50436,0.2007792,0.1032671,0.2938255,0.4733054,57.23676,0.3799083,-1,1.894676,"COG_N2005X",0.01961,0.02935,0.03871,0.04742,0.05776,0.07086,0.08901,0.1147,0.164,0.3685,0.922769838708392,0.30436,1.9,1.9,1.9,0.50436,,,1.9,0.50436,0.2007792,1894676,955598.78736,1.14363454675232,1515740.8,4.7845022027698,378935.2,-0.0074023999999997,3.68709333972603,0.87360706070596,0.4224848
0,0,"CRI","Costa Rica","LAC","N",1981,1981,"Y",343.7857,1.9,166.3908,0.2469525,0.1075672,0.062318,0.1793092,0.4749476,116.8161,0.4370442,0.4750657,2.454129,"CRI_N1981Y",0.01065,0.02282,0.03514,0.04812,0.06241,0.07899,0.09964,0.1283,0.1766,0.3373,0.799253675841706,0.0469525,1.9,1.9,1.9,0.2469525,,,1.9,0.2469525,0.1075672,2454129,606053.2918725,1.0724008463166,1963303.2,6.91264547821143,490825.8,0.8781116,6.61845018219178,0.87360706070596,0.4224848
